Name,Skills,College,Degree,Field,Company,Position
Krishna Nair,"Know-your-consumer (KYC), Statistical process control, Cost reduction and avoidance, Systems Engineering, Systems Engineering management, Software systems engineering, Quality control, Failure analysis, Tools of operations research, MS Office, Auto CAD, inspection, Lean manufacturing, process control, process design, simulation, system configuration","Oklahoma Christian University, Sastra University, Tanjore Tamil Nadu","Master of Science, Bachelor of Technology","Engineering Management, Chemical Engineering","Company Name, Company Name","Engineering Intern, N/A"
Saanvi Reddy,"Deep learning, Python, SQL, Keras, PyTorch, PySpark, Data Science, Data Analysis, Machine Learning, Natural Language Processing, Artificial Intelligence, Computer Vision, Pattern Recognition, NLP, OpenCV, Image Processing","Indian Institute of Technology (IIT), Kharagpur",Dual Degree (B.tech + M.Tech)(Chemical),Chemical,Innoplexus,Data Scientist
Meera Sinha,"Data Science, Logistic Regression, Clustering, Data Structures, Software Engineer, Data Analytics, Machine Learning, Visual Studio, Statistical Analysis, Linux, Unix, Python, Software Developer",University of Mangalore,Bsc (IT),Information Technology,Systemica Consultants,SDE
Riya Sinha,"Business Analysis, Machine Learning, Requirement Gathering, Data Analysis, Artificial Intelligence, Predictive Modeling, Deep Learning, Data Modeling, Manual Testing, Quality Assurance, Python, R, SQL, HTML, Numpy, Tensorflow","Indian Institute of Technology (IIT), Mumbai",B.Tech,Mechanical,Loyalty Rewards Management. Pvt. Ltd.,Business Analyst
Vikram Joshi,"Excellent communication, Inspecting, Team Lead, Modems, Processes, Scheduling, Technician, Trainer, Troubleshooting",ITT Techinical Institute,Bachelor of Science,Electronic Engineering Electronics Engineering Field,"Company Name, Company Name, Company Name","Self-Sustaining Engineering Technician, Production Technician, Electronic Technician"
Aditya Verma,"assembly, ATM, Cadence, calibration, CA, hardware, DC, de-bugging, Ethernet, Graphic, ISO 9000, LabView, layout, Linux OS, Logic, Mentor, Access, MS Office, Windows, multimeters, network, networking, ORCAD, oscilloscopes, power supplies, procurement, purchasing, Quality Assurance, Routers, schematics, signal generators, SONET, Switches, T1, test equipment, trouble shooting, troubleshooting, validation, View",Solano College,Associate Degree,Electronics Engineering Technology,"Company Name, Company Name, Company Name","Electrical Engineering Lab Technician, Electrical Engineering Lab Technician, Electrical Engineering Technician and PCB Layout Designer"
Saanvi Bose,"Net, photo, agile, analyst, Apple, automation, banking, budgets, business plan, closing, com, consulting, content, contracts, credit, encryption, client, customer satisfaction, data migration, database administration, driving, e-commerce, features, financial, hiring, imaging, information technology, insurance, interpretation, inventory, managing, market planning, marketing, market, marketing and sales, messaging, office, new product development, developer, order management, camera, policies, presenting, pricing, procurement, product development, Product manager, product management, product marketing, program management, quality, quality assurance, QA, radio, real-time, receiving, retail, sales, sales management, shipping, software development, stories, strategy, supply chain, technical support, television, upgrades, UI design, utilities, venture capital, vision, workflow, year-end","Georgia Institute of Technology, Rutgers University","Master of Science, Bachelor of Science","Management of Technology, Computer Science","Calero, CLA, PictureU, Ticket Alternative, Triplingo, Deposco, SVG (Servigistics), Commerce Science, N/A, MediaOcean","Director of Engineering, Sr. Director Software Development, VP of Engineering and Operations, CTO, Co-Founder and COO, VP of Engineering, VP Solutions Sales, CTO, Independent Consultant, CTO & Founder"
Vikram Ghosh,"Python, Webscrapping, PowerBI, Data Cleaning, Data Preparation, Data Analysis, Predictive Modeling, Data Analytics, Pivot Table, SQL, PostgreSQL, Analytics, Excel, Machine Learning, XML",Mumbai University,Bachelor of Science,Statistics,Dell Technologies,Junior Analyst
Karan Patel,"Data Analysis, Machine learning, Data Mining, Natural Language Processing, Linear Regression, Cluster Analysis, Correlation Analysis, Logistic Regression, Principal Component Analysis, Anova, Neural Networks, R, Python, MySQL, Tableau, Excel, SPSS, Decision tree","MamCO University, MamCO University","BSc(CA), MSc(CA)","Computer Applications, Computer Applications",KPMMC Inc.,Machine Learning Junior Developer
Karan Kapoor,"3d, accounting, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, auditing, banking, book, Budget preparation, contracts, cost analysis, credit, clients, debit, Dec, documentation, Dos, senior Management, finance, Financial, financial management, Preparation of Financial Statements, HR, Inspection, Inventory, inventory control, Macro Media Director, MS Office, 2K, Windows 9.x, works, MIS, modeling, Developer 2000, Oracle 8I, Oracle, payroll, policies, reporting, Sales, tax, Video Editing","Vidyasagar University, Mohan Lal Sukhadia University","MBA, N/A","Finance, N/A","Company Name, Company Name, Auto1 (Al-Ghannam Auto World Co. WLL), Company Name, Company Name, Digital Vish Computers","Accountant, Accountant, Accountant, Accountant, Account Assistant, Account Assistant"
Tanya Patel,"Python, Java, HTML 5, SQL, C Programming, Excel, Access",North Dakota State University,Bachelor of Science,"Computer Science, Minor: Mathematics","IBM, NDSU IT","Software Engineering Intern, IT Help Desk Support"
Neha Singh,"3D modeling, architectural drafting, AutoCAD, read blueprints, carpentry, Detail oriented, drafting, email, floor plans, frame, 3dsMax, mechanical, messaging, Microsoft Office applications, Multi-tasking, painting, problem solving skills, reading, renovation, Revit, self-motivated, supervisor",ITT Technical Institute,A.A.S,Drafting and Design,"Company Name, Company Name, Company Name, Company Name","Engineering Technician, Material Handler, Laborer, Janitorial/Construction Laborer"
Riya Mehta,"accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings, book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance, financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end","University of North Carolina, N/A","Bachelor of Science, Bachelor of Science","Accounting, Business Administration Finance","Company Name, Company Name, Company Name, Company Name","Staff Accountant, Staff Accountant, Staff Accountant, Financial Management Partner"
Saanvi Patel,"iFixit Pro Tech Toolkit, PassMark MemTest86, Malwarebytes, Recuva, Ultimate Boot CD (UBCD), Windows Installation USB/DVD, TeamViewer, Driver Booster, Falcon Dust-Off Compressed Gas Duster, Fluke 115 Compact True-RMS Digital Multimeter",DeVry University,Associate of Applied Science,Electronics and Computer Technology,"YZA Technologies, Sherwin-Williams, OhioHealth","Computer Repair Technician, Computer Technician, Help Desk Technician"
Priya Nair,"Seasoned Leadership, Experienced Manager, Motivated, Balanced",Stephen F. Austin State University,Bachelor of Arts Degree,Communications,"Company Name, Company Name, Company Name, Company Name, Company Name","Partner; Business Development, Regional Manager; Consumer Engagement, Regional Event Marketing Manager, One-on-One Marketing Supervisor, Sales Representative"
Aanya Patel,"Python, Machine Learning, Natural Language Processing, Text Mining, Data Scientist, Data Analyst, Deep Learning, MongoDB, SQL, Flask, Data Analytics, Big Data Analytics","Thakur Shiv Kumar Singh Memorial Engineering College, Institute for Advanced Computing and Software Development","B.Tech, Diploma","N/A, Big Data Analytics",Bristlecone,Machine Learning Engineer
Tanya Kapoor,"Snowflake, Python, C++, R, SQL, Tableau, PyTorch",University of British Columbia,B.S.,Engineering,"AbCellera, Microsoft, Swiss Re","Computer Vision Scientist, IT Data Scientist, Associate Data Scientist"
Meera Chopra,"HTML, CSS, JavaScript (Angular), Python, Git, Algorithm Design, Technical Writing, Data Analysis, Interpersonal Communication, Patience","Princeton International School of Mathematics and Science, New York University","Master of Science, Bachelor of Science","Computer Science, Computer Science","Princeton International School of Mathematics and Science, HKA Enterprises, Academy of Mine","Computer Science Teacher, Software Engineer, Junior Software Engineer"
Saanvi Kumar,"Mechanically-inclined, Diagnosis and repair, Skilled concrete finisher, Preventative maintenance, Dexterous with hand tools, Suspension and alignment, Strong attention to detail, Brake systems expertise, Troubleshooting, Brake repair and replacement, Responsible and reliable, Strategic thinker, Excellent problem solver, Self-starter, Decisive, Critical thinker, customer service, documentation, forklift, forms, legal, materials, policies, problem solving skills, progress, quality assurance, read, repairs, safety, struts, supervisor, tear","Maury High School, Lamar Institute of Technology","Diploma,","General Studies, Industrial Maintenance Industrial Engineering, Production Engineering, Mechanical Engineering and Engineering Welding Fabrication, Industrial and Tool Manufacturing Technology and Process Technology","Company Name, Company Name, Company Name, Company Name","Engineering Aide, Service Technician, Concrete Finisher,"
Krishna Sharma,"Business Analysis, Machine Learning, Requirement Gathering, Data Analysis, Artificial Intelligence, Predictive Modeling, Deep Learning, Data Modeling, Manual Testing, Quality Assurance, Python, R, SQL, HTML, Numpy, Tensorflow","Indian Institute of Technology (IIT), Mumbai",B.Tech,Mechanical,Loyalty Rewards Management. Pvt. Ltd.,Business Analyst
Riya Jain,"Machine Learning, Natural Language Processing, Artificial Intelligence, Python, SQL, Docker, Spacy, Numpy, Pandas, TensorFlow","Birla Institute of Technology and Science (BITS), Pilani",Integrated B.E. and M.Sc Hons.,Hons. Mechanical Engineering,KRUZR,Machine Learning Engineer Intern
Aanya Das,"Machine Learning Engineer, Data Processing, Data Modelling, Data Structures, Deep Learning, Application Development, Python, Django, Flask, Kubernetes, C++","SHRI GURU GOBIND SINGHJI COLLEGE OF ENGINEERING AND TECHNOLOGY, NANED",B.TECH,COMPUTERS,"TATA CONSULTANCY SERVICES LTD., NANYANG TECHNOLOGICAL UNIVERSITY","MACHINE LEARNING ENGINEER, RESEARCH ASSISTANT"
Aanya Ghosh,"Problem resolution, Results-oriented, Meticulous attention to detail, Managing multiple priorities, Active Learning, Client Relations, Computer Proficiency, Creative Problem Solving, Critical Thinking, Data Collection, Data Entry, Documentation, Email, Executive Management Support, Filing, Internet Research, Letters and Memos, Minute Taking, Multi-Task Management, Organizational Skills, Research, Scheduling, Service Orientation, Speaking, Spreadsheets, Travel Arrangements","Denver High School, Front Range Community College","High School Diploma,",", General Studies","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Business Development, Service Manager, System Technology Specialist, Project Manager, Support Manager, Project Administrator"
Kabir Das,"Data Science, Data Analysis, Deep Learning, Machine Learning, Artificial Intelligence, Python, MATLAB, NLP, Computer Vision, Keras, Pytorch, RNN","IIT Kharagpur, IIT Kharagpur","B.Tech, M.Tech","N/A, N/A",IIT Labs,Associate Researcher
Kabir Joshi,"Proactive, self-motivated, team player, AP, AR, bank reconciliations, billings, budgets, cash flow projections, government contracting, financial statements, Quickbooks, Peachtree, JDE, Great Plains, LabView, Matlab, Access, Excel, Word","University of Maryland, University College, University of Maryland, University of Maryland","Master of Science, M. Eng, Bachelor of Science","Accounting and Finance, Aerospace Engineering, Aerospace Engineering","Company Name, Company Name, Company Name, Company Name","Engineering Supervisor, Vice President, Assistant Program Manager, Project Engineer"
